full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Anthony Martial,25,Premier League,2018/2019,Forward,Manchester United,1623,France,27,10,2
Antonio Barreca,26,Premier League,2018/2019,Defender,Newcastle United,4,Italy,1,0,0
Antonio Rüdiger,28,Premier League,2018/2019,Defender,Chelsea,2874,Germany,33,1,0
Antonio Valencia,35,Premier League,2018/2019,Defender,Manchester United,466,Ecuador,6,0,0
Arijanet Muric,22,Premier League,2018/2019,Goalkeeper,Manchester City,0,Montenegro,0,0,0
Aron Einar Gunnarsson,31,Premier League,2018/2019,Midfielder,Cardiff City,2274,Iceland,28,1,1
Arthur Masuaku,27,Premier League,2018/2019,Defender,West Ham United,1756,France,23,0,1
Artur Boruc,41,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,Poland,12,0,0
Ashley Barnes,31,Premier League,2018/2019,Forward,Burnley,2400,England,37,12,2
Ashley Westwood,31,Premier League,2018/2019,Midfielder,Burnley,2822,England,34,2,7
Ashley Young,35,Premier League,2018/2019,Midfielder,Manchester United,2568,England,30,2,2
Asmir Begović,33,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,Bosnia and Herzegovina,24,0,0
Aymeric Laporte,26,Premier League,2018/2019,Defender,Manchester City,3057,France,35,3,3
Ayoze Perez,27,Premier League,2018/2019,Forward,Newcastle United,2929,Spain,37,12,2
Bakary Sako,32,Premier League,2018/2019,Midfielder,Crystal Palace,25,Mali,4,0,0
Bakayo Sako,0,Premier League,2018/2019,Midfielder,Arsenal,7,England,1,0,0
Ben Chilwell,24,Premier League,2018/2019,Defender,Leicester City,3240,England,36,0,4
Ben Davies,27,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,Wales,27,0,0
Ben Foster,37,Premier League,2018/2019,Goalkeeper,Watford,3420,England,38,0,0
Ben Gibson,28,Premier League,2018/2019,Defender,Burnley,63,England,1,1,0
Ben Hamer,33,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,England,7,0,0
Ben Mee,31,Premier League,2018/2019,Defender,Burnley,3420,England,38,0,2
Ben White,23,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,England,0,0,0
Ben Wilmot,21,Premier League,2018/2019,Defender,Watford,26,England,2,0,0
Benjamin Johnson,21,Premier League,2018/2019,Forward,West Ham United,63,England,1,0,0
Benjamin Mendy,26,Premier League,2018/2019,Defender,Manchester City,900,France,10,0,5
Beram Kayal,32,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,Israel,18,1,1
Bernard Anício Caldeira Duarte,28,Premier League,2018/2019,Midfielder,Everton,2128,Brazil,34,1,3
Bernardo,25,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,Brazil,22,0,1
Bernardo Silva,26,Premier League,2018/2019,Midfielder,Manchester City,2853,Portugal,36,7,7
Bernd Leno,29,Premier League,2018/2019,Goalkeeper,Arsenal,2835,Germany,32,0,0
Bobby Reid,28,Premier League,2018/2019,Midfielder,Cardiff City,1422,England,27,5,2
Brian Murphy,37,Premier League,2018/2019,Goalkeeper,Cardiff City,0,Republic of Ireland,0,0,0
Bright Enobakhare,23,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,England,0,0,0
